formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,material_id
MnVRu2,228.444,228.444,228.444,mp-864983
MnAlRu2,218.933,218.933,218.933,mp-864980
Dy2MgIn,52.775,52.775,52.775,mp-865007
HfGaRu2,197.202,197.202,197.202,mp-865010
HfTaRe2,244.954,244.954,244.954,mp-865025
DyAl3,72.362,71.002,71.682,mp-864995
HfTc2Sb,201.069,201.069,201.069,mp-865023
Mn2VSi,242.884,242.884,242.884,mp-865026
Mn3Ge,195.84,195.84,195.84,mp-865027
Dy2MgAl,55.262,55.262,55.262,mp-865006
Be2RuPt,219.105,219.105,219.105,mp-865021
LiSiPd2,139.601,139.601,139.601,mp-864997
HfMgIr2,187.046,187.046,187.046,mp-865020
Be2IrPd,214.003,214.003,214.003,mp-865003
MnIr3,287.932,287.839,287.886,mp-865022
AcTlTe2,41.684,41.684,41.684,mp-865028
HfScOs2,197.703,197.703,197.703,mp-865001
Mn2NbAl,195.796,195.796,195.796,mp-865011
HfMgRh2,154.665,154.665,154.665,mp-865050
HfTaTc2,222.224,222.224,222.224,mp-865038
NaAcTl2,31.125,31.125,31.125,mp-865090
HfScRu2,172.957,172.957,172.957,mp-865030
NaCa2Tl,22.925,22.925,22.925,mp-865051
HfMgPd2,128.55,128.55,128.55,mp-865049
NaCd2Pt,69.41,69.41,69.41,mp-865076
Mn2PtRh,174.551,174.551,174.551,mp-865032
MgInPd2,109.21,109.21,109.21,mp-865043
TiZnNi2,160.513,160.513,160.513,mp-865093
TiZnIr2,226.509,226.509,226.509,mp-865048
NaLaAu2,55.109,55.109,55.109,mp-865098
NaHoTl2,38.106,38.106,38.106,mp-865096
NaInHg2,25.727,25.727,25.727,mp-865100
HfMnRh2,175.043,175.043,175.043,mp-865091
TiZnPd2,150.486,150.486,150.486,mp-865079
NaHgPd2,80.025,80.025,80.025,mp-865097
MgGaNi2,116.982,116.982,116.982,mp-865092
HfNbTc2,218.707,218.707,218.707,mp-865094
LiSmTl2,41.722,41.722,41.722,mp-865116
NaMgTl2,24.965,24.965,24.965,mp-865110
NaNdHg2,42.221,42.221,42.221,mp-865115
NaPrHg2,41.671,41.671,41.671,mp-865119
NaPaO3,132.432,132.432,132.432,mp-865120
NaMgPb2,15.404,15.404,15.404,mp-865107
MgGaRh2,155.284,155.284,155.284,mp-865125
NaErTl2,37.926,37.926,37.926,mp-865117
NaTl2Cd,23.718,23.718,23.718,mp-865127
Hf2MnIr,192.899,192.899,192.899,mp-865138
Hf2OsRh,201.65,201.65,201.65,mp-865131
NaSmAu2,59.904,59.904,59.904,mp-865111
MgGaPd2,120.303,120.303,120.303,mp-865123
PaAlRu2,178.546,178.546,178.546,mp-865149
PaAlTc2,181.984,181.984,181.984,mp-865148
